-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.32%       9.462ms         1.99%      14.235ms      30.946us     249.142ms        43.08%     249.142ms     541.612us           0 b           0 b       4.87 Gb       4.87 Gb           460      1822.464  
       autograd::engine::evaluate_function: MmBackward0         0.26%       1.836ms         2.02%      14.414ms      72.072us       0.000us         0.00%     182.971ms     914.853us           0 b           0 b      -1.50 Gb      -4.70 Gb           200            --  
                                            MmBackward0         0.30%       2.113ms         1.69%      12.120ms      60.600us       0.000us         0.00%     182.625ms     913.127us           0 b           0 b       3.16 Gb           0 b           200            --  
      autograd::engine::evaluate_function: MulBackward0         0.86%       6.151ms         4.42%      31.616ms      54.510us       0.000us         0.00%     181.870ms     313.569us         -80 b         -80 b      -2.80 Gb     -25.23 Gb           580            --  
                                              aten::mul         2.53%      18.105ms         3.96%      28.319ms      18.509us     174.593ms        30.19%     174.593ms     114.113us           0 b           0 b      29.64 Gb      29.64 Gb          1530         7.957  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     171.196ms        29.60%     171.196ms     117.660us           0 b           0 b           0 b           0 b          1455            --  
                              ### compute_all_gradients         0.00%       0.000us         0.00%       0.000us       0.000us     152.445ms        26.36%     152.445ms      30.489ms           0 b           0 b           0 b           0 b             5            --  
                                           MulBackward0         0.57%       4.103ms         3.02%      21.576ms      37.201us       0.000us         0.00%     133.132ms     229.537us           0 b           0 b      22.43 Gb           0 b           580            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      91.125ms        15.76%      91.125ms      97.984us           0 b           0 b           0 b           0 b           930            --  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      77.064ms        13.32%      77.064ms       1.028ms           0 b           0 b           0 b           0 b            75            --  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us      73.942ms        12.78%      73.942ms     985.892us           0 b           0 b           0 b           0 b            75            --  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us      69.928ms        12.09%      69.928ms     998.973us           0 b           0 b           0 b           0 b            70            --  
                                             aten::add_         0.49%       3.533ms         0.97%       6.966ms       9.811us      69.191ms        11.96%      69.191ms      97.452us           0 b           0 b           0 b           0 b           710            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.25%       1.805ms         1.85%      13.211ms      94.361us       0.000us         0.00%      67.316ms     480.831us           0 b           0 b       1.40 Gb    -318.90 Mb           140            --  
                                         AddmmBackward0         0.27%       1.929ms         1.53%      10.941ms      78.148us       0.000us         0.00%      66.516ms     475.116us           0 b           0 b       1.72 Gb           0 b           140            --  
     autograd::engine::evaluate_function: SiluBackward0         0.18%       1.253ms         3.77%      26.950ms     317.060us       0.000us         0.00%      57.962ms     681.903us           0 b           0 b       7.41 Gb      -1.10 Gb            85            --  
                                          SiluBackward0         0.58%       4.149ms         3.52%      25.211ms     296.600us       0.000us         0.00%      54.990ms     646.938us           0 b           0 b       8.11 Gb      -1.60 Gb            85            --  
autograd::engine::evaluate_function: SigmoidBackward...         0.22%       1.606ms         0.85%       6.083ms      50.693us       0.000us         0.00%      28.529ms     237.738us           0 b           0 b      -3.20 Gb      -6.41 Gb           120            --  
      autograd::engine::evaluate_function: SubBackward0         0.23%       1.645ms         0.83%       5.941ms      49.508us       0.000us         0.00%      24.163ms     201.354us           0 b           0 b      -2.40 Gb      -5.61 Gb           120            --  
