====================================================================================================
QR-Pivot 感測點座標與數值表格
====================================================================================================

 Index  Global_ID            x            y            z            u            v            w          |U|
----------------------------------------------------------------------------------------------------
     0      44715     4.270603     4.196971     0.000000    -0.825452    -0.765148     0.000000     1.125532
     1      13235     1.251728     4.393321     0.000000    -0.792292     1.345388     0.000000     1.561344
     2      61323     5.865943     3.411573     0.000000    -0.573269     0.952931     0.000000     1.112077
     3      65317     6.258642     0.908117     0.000000     0.437804     1.228774     0.000000     1.304437
     4      20423     1.938952     4.884195     0.000000     0.861304    -0.877778     0.000000     1.229772
     5      62961     6.013205     5.915030     0.000000     0.598287     1.216136     0.000000     1.355336
     6      49110     4.687845     5.252350     0.000000     0.551075    -0.259505     0.000000     0.609120
     7      22659     2.159845     3.215224     0.000000    -0.295280    -0.680323     0.000000     0.741640
     8      36558     3.485204     5.056001     0.000000     0.286839    -1.270357     0.000000     1.302338
     9      28835     2.748894     4.000622     0.000000    -0.749143    -1.094908     0.000000     1.326665
    10       1228     0.098175     5.006913     0.000000     0.265188     1.202310     0.000000     1.231208
    11      43870     4.196971     2.307107     0.000000    -0.933672    -0.959456     0.000000     1.338768
    12      59214     5.669593     1.914408     0.000000    -0.547789     1.204567     0.000000     1.323274
    13       6467     0.613592     1.644427     0.000000    -0.432155     1.119393     0.000000     1.199916
    14      37269     3.558835     3.657010     0.000000    -0.744413    -1.247805     0.000000     1.452986
    15      53264     5.105088     0.392699     0.000000     1.202196     0.400479     0.000000     1.267146
    16      46833     4.466952     5.915030     0.000000     0.427395    -0.519470     0.000000     0.672693
    17      10633     1.006291     3.362486     0.000000    -0.535417     0.694604     0.000000     0.877010
    18      21916     2.086214     3.828816     0.000000    -0.982231    -0.478909     0.000000     1.092763
    19      25656     2.454369     1.374447     0.000000     0.237940    -0.958298     0.000000     0.987396
    20      57785     5.522331     4.540583     0.000000    -0.321289     0.634341     0.000000     0.711067
    21      65347     6.258642     1.644427     0.000000    -0.438673     1.262143     0.000000     1.336203
    22      45840     4.393321     0.392699     0.000000     0.875607    -0.632297     0.000000     1.080041
    23      65373     6.258642     2.282563     0.000000    -0.318619     1.178679     0.000000     1.220984
    24      18454     1.767146     0.539961     0.000000     0.933017    -0.164606     0.000000     0.947426
    25      29567     2.822525     3.117049     0.000000    -0.454834    -1.193588     0.000000     1.277312
    26      54429     5.203263     3.853360     0.000000    -0.018493     0.580218     0.000000     0.580513
    27      38146     3.657010     0.049087     0.000000     0.884904    -1.086734     0.000000     1.401444
    28      50295     4.810564     2.920699     0.000000    -1.301393     0.065049     0.000000     1.303017
    29      44946     4.295146     3.583379     0.000000    -0.170271    -0.239031     0.000000     0.293476
    30      14060     1.325359     5.792311     0.000000     0.678662     0.530637     0.000000     0.861486
    31      28440     2.724350     0.589049     0.000000     0.407362    -0.952908     0.000000     1.036329
    32       6497     0.613592     2.380738     0.000000    -0.281475     1.041561     0.000000     1.078924
    33      54515     5.203263     5.964117     0.000000     0.050071    -0.000234     0.000000     0.050072
    34      51287     4.908739     2.135301     0.000000    -0.091487     0.524594     0.000000     0.532512
    35      16433     1.570796     1.202641     0.000000    -0.468474     0.444712     0.000000     0.645939
    36      13660     1.300816     2.258020     0.000000    -0.042717     0.218921     0.000000     0.223050
    37      32091     3.067962     2.233476     0.000000    -0.550317    -1.266342     0.000000     1.380750
    38      28871     2.748894     4.884195     0.000000     0.299998    -1.097721     0.000000     1.137976
    39        175     0.000000     4.295146     0.000000    -0.112629     1.226134     0.000000     1.231296
    40      30182     2.871612     5.645049     0.000000     0.320513    -1.219323     0.000000     1.260744
    41      23516     2.233476     5.399612     0.000000     0.719362    -0.694579     0.000000     0.999961
    42      33848     3.239767     1.374447     0.000000     0.326916    -1.280139     0.000000     1.321223
    43      12238     1.153554     5.056001     0.000000     0.626914     1.276124     0.000000     1.421799
    44      12036     1.153554     0.098175     0.000000     0.386644     0.758132     0.000000     0.851033
    45      51644     4.933282     4.614214     0.000000    -0.288162    -0.009081     0.000000     0.288305
    46       7465     0.711767     1.006291     0.000000     0.296279     0.987801     0.000000     1.031277
    47      38507     3.681554     2.626175     0.000000    -0.796591    -1.133054     0.000000     1.385052
    48       3964     0.368155     3.043418     0.000000    -0.864937     1.194623     0.000000     1.474870
    49      52028     4.982370     1.472622     0.000000    -0.212244    -0.261551     0.000000     0.336833
    50      31739     3.018874     6.160467     0.000000     0.934782    -1.265861     0.000000     1.573602
    51      63094     6.037748     2.896156     0.000000    -0.774922     1.074572     0.000000     1.324843
    52      45895     4.393321     1.742602     0.000000     0.397908    -0.043858     0.000000     0.400317
    53      46379     4.442408     1.055379     0.000000     0.231055    -0.453292     0.000000     0.508782
    54      57813     5.522331     5.227807     0.000000     0.888333     0.844881     0.000000     1.225952
    55       3995     0.368155     3.804272     0.000000    -0.167342     1.344463     0.000000     1.354838
    56      36124     3.460661     0.687223     0.000000     0.373656    -1.188645     0.000000     1.245992
    57      58420     5.595962     1.276272     0.000000    -0.188313     1.207028     0.000000     1.221629
    58      25679     2.454369     1.938952     0.000000    -0.115318    -0.919083     0.000000     0.926289
    59      15260     1.448078     3.828816     0.000000    -0.500009     0.249790     0.000000     0.558931
    60      61449     5.890486     0.220893     0.000000     0.392933     0.852213     0.000000     0.938437
    61      21861     2.086214     2.478913     0.000000    -0.840362    -0.519383     0.000000     0.987911
    62      41446     3.951535     5.645049     0.000000     0.243695    -0.974766     0.000000     1.004767
    63      55939     5.350525     3.215224     0.000000    -0.895540     0.651668     0.000000     1.107548
    64      34492     3.288855     4.614214     0.000000     0.076423    -1.306497     0.000000     1.308731
    65      60068     5.743224     4.025166     0.000000    -0.036692     0.928957     0.000000     0.929681
    66      18609     1.767146     4.344234     0.000000    -1.318321     0.178228     0.000000     1.330314
    67      44662     4.270603     2.896156     0.000000    -1.187515    -0.735883     0.000000     1.397038
    68      14917     1.423534     1.693515     0.000000    -0.187005     0.394287     0.000000     0.436386
    69      17021     1.619884     3.067962     0.000000    -0.482154    -0.188916     0.000000     0.517843
    70       3086     0.294524     0.343612     0.000000     0.507854     1.214463     0.000000     1.316372
    71       6120     0.564505     5.694137     0.000000     0.747234     1.118513     0.000000     1.345150
    72      24243     2.307107     4.393321     0.000000    -0.613528    -1.394346     0.000000     1.523357
    73      28270     2.699806     2.699806     0.000000    -0.681779    -1.140494     0.000000     1.328740
    74      64476     6.160467     5.399612     0.000000     0.746198     1.126239     0.000000     1.351009
    75      61636     5.890486     4.810564     0.000000    -0.033725     0.909856     0.000000     0.910480
    76      39468     3.779729     1.079922     0.000000     0.375472    -1.232324     0.000000     1.288256
    77      22563     2.159845     0.859029     0.000000    -0.018838    -0.389601     0.000000     0.390056
    78      56420     5.399612     2.454369     0.000000    -0.553945     1.003093     0.000000     1.145885
    79      50321     4.810564     3.558835     0.000000    -0.161741     0.259683     0.000000     0.305934
    80      39504     3.779729     1.963495     0.000000    -0.206965    -1.606247     0.000000     1.619526
    81      36480     3.485204     3.141593     0.000000    -0.464413    -1.234423     0.000000     1.318894
    82      31017     2.969787     1.006291     0.000000     0.195786    -1.160246     0.000000     1.176649
    83      49319     4.712389     4.098797     0.000000    -0.594990    -0.108472     0.000000     0.604797
    84      20731     1.963495     6.160467     0.000000     0.347764     0.048796     0.000000     0.351170
    85      11064     1.055379     1.374447     0.000000    -0.386000     0.866366     0.000000     0.948465
    86      20300     1.938952     1.865321     0.000000     0.201804    -0.595025     0.000000     0.628315
    87      35815     3.411573     5.669593     0.000000     0.351900    -1.257527     0.000000     1.305836
    88      12574     1.202641     0.736311     0.000000     0.659780     0.548503     0.000000     0.858001
    89      24079     2.307107     0.368155     0.000000     1.043130    -0.800651     0.000000     1.314976
    90      17369     1.644427     5.325981     0.000000     1.486059     0.171741     0.000000     1.495950
    91      50686     4.835107     6.234098     0.000000     0.835656     0.006768     0.000000     0.835684
    92       6914     0.662680     0.049087     0.000000     0.370674     1.082316     0.000000     1.144031
    93      59424     5.694137     0.785398     0.000000     0.931063     1.362433     0.000000     1.650182
    94      42044     4.025166     1.472622     0.000000     0.580402    -1.096081     0.000000     1.240266
    95      43201     4.123340     4.736933     0.000000     0.325544    -0.690993     0.000000     0.763839
    96      65430     6.258642     3.681554     0.000000    -0.265321     1.183074     0.000000     1.212460
    97      53458     5.105088     5.154175     0.000000     0.946457     0.464629     0.000000     1.054353
    98      32841     3.141593     1.791690     0.000000     0.062472    -1.278526     0.000000     1.280051
    99      53286     5.105088     0.932660     0.000000     0.364055    -0.144829     0.000000     0.391806

====================================================================================================

統計摘要:
  總感測點數量: 100
  x 範圍: [0.000000, 6.258642]
  y 範圍: [0.049087, 6.234098]
  z 範圍: [0.000000, 0.000000]

  速度大小範圍: [0.050072, 1.650182]
  平均速度大小: 1.042127
